"","names","idarea","code_muni"
"205","ITAPEVI",260,3522505
"206","AGUDOS",8,3500709
"207","PEDREIRA",420,3537107
"208","QUINTANA",474,3542008
"209","POÁ",447,3539806
"210","BOITUVA",79,3507001
"211","SANTA ROSA DE VITERBO",532,3547601
"212","JACAREÍ",280,3524402
"213","ITIRAPUÃ",273,3523701
"214","PERUÍBE",426,3537602
"215","BARRA DO CHAPÉU",61,3505351
"216","TAQUARITUBA",602,3553807
"217","CÁSSIA DOS COQUEIROS",125,3510906
"218","DOURADO",160,3514304
"219","GUARAÇAÍ",205,3517802
"220","MOMBUCA",349,3530904
"221","COLÔMBIA",137,3512100
"222","TAPIRATIBA",599,3553609
"223","INDIAPORÃ",240,3520707
"224","VARGEM",634,3556354
"225","TAQUARIVAÍ",603,3553856
"226","REGISTRO",480,3542602
"227","MAIRIPORÃ",323,3528502
"228","EUCLIDES DA CUNHA PAULISTA",178,3515350
"229","PITANGUEIRAS",444,3539509
"230","BREJO ALEGRE",89,3507753
"231","ATIBAIA",48,3504107
"232","COSMÓPOLIS",144,3512803
"233","ELISIÁRIO",167,3514924
"234","LAVRINHAS",303,3526605
"235","BIRIGUI",74,3506508
"236","PONTALINDA",452,3540259
"237","CAPÃO BONITO",118,3510203
"238","ESTRELA D'OESTE",176,3515202
"239","SANTA CRUZ DO RIO PARDO",522,3546405
"240","TURIÚBA",621,3555208
"241","AGUAÍ",3,3500303
"242","MENDONÇA",334,3529500
"243","TAQUARITINGA",601,3553708
"244","ITUVERAVA",277,3524105
"245","SERRA AZUL",576,3551405
"246","SANTA CLARA D'OESTE",518,3546108
"247","ANALÂNDIA",23,3502002
"248","DOBRADA",157,3514007
"249","SÃO BENTO DO SAPUCAÍ",546,3548609
"250","BARRETOS",63,3505500
"251","SILVEIRAS",582,3552007
"252","ECHAPORÃ",164,3514700
"253","PEDREGULHO",419,3537008
"254","ITABERÁ",251,3521705
"255","NARANDIBA",364,3532207
"256","PEREIRAS",425,3537503
"257","NOVA INDEPENDÊNCIA",377,3533205
"258","MARÍLIA",329,3529005
"259","AREIAS",41,3503505
"260","ITIRAPINA",272,3523602
"261","SANTA CRUZ DAS PALMEIRAS",521,3546306
"262","CÂNDIDO RODRIGUES",116,3510104
"263","BAURU",68,3506003
"264","MONTEIRO LOBATO",358,3531704
"265","QUELUZ",473,3541901
"266","PLANALTO",445,3539608
"267","SAGRES",504,3544707
"268","ORIENTE",387,3534104
"269","SÃO PAULO",565,3550308
"270","FERNÃO",182,3515657
"271","SALTO DE PIRAPORA",511,3545308
"272","RIBEIRÃO PRETO",490,3543402
"273","ASSIS",47,3504008
"274","FRANCA",188,3516200
"275","ILHA SOLTEIRA",236,3520442
"276","SÃO LUIZ DO PARAITINGA",562,3550001
"277","JARINU",288,3525201
"278","TORRE DE PEDRA",613,3554656
"279","PAULÍNIA",413,3536505
"280","SÃO CAETANO DO SUL",548,3548807
"281","GUARARAPES",209,3518206
"282","MONTE CASTELO",356,3531605
"283","CANANÉIA",113,3509908
"284","CUNHA",152,3513603
"285","VARGEM GRANDE PAULISTA",636,3556453
"286","GUARATINGUETÁ",211,3518404
"287","UCHOA",626,3555604
"288","SANTA BRANCA",517,3546009
"289","VALPARAÍSO",633,3556305
"290","REGENTE FEIJÓ",478,3542404
"291","ÁLVARES MACHADO",16,3501301
"292","CONCHAL",138,3512209
"293","RIBEIRÃO BRANCO",484,3543006
"294","SARUTAIÁ",574,3551207
